index,State,Region,2016,2017,2018,2019,2020,2021,State_Name
0,AL,South,133.0,600.0,935.0,1036.0,5016.0,11602.0,Alabama
1,AR,South,26.0,62.0,388.0,839.0,2262.0,7358.0,Arkansas
2,AZ,Southwest,2715.0,3585.0,3539.0,2664.0,13948.0,30053.0,Arizona
3,CA,West,33592.0,35230.0,34536.0,107841.0,195831.0,388838.0,California
4,CO,West,1286.0,2147.0,3492.0,5994.0,5531.0,6890.0,Colorado
5,CT,Northeast,1998.0,2388.0,1967.0,1576.0,5555.0,16278.0,Connecticut
6,DC,South,144.0,293.0,453.0,356.0,2015.0,5872.0,District of Columbia
7,DE,South,204.0,344.0,363.0,232.0,900.0,2799.0,Delaware
8,FL,South,8783.0,14619.0,13064.0,9855.0,76672.0,278395.0,Florida
9,GA,South,2872.0,5154.0,6095.0,5199.0,8761.0,12005.0,Georgia
10,IA,Midwest,735.0,998.0,199.0,507.0,1722.0,5446.0,Iowa
11,ID,West,418.0,312.0,348.0,522.0,1783.0,5161.0,Idaho
12,IL,Midwest,6677.0,9727.0,7043.0,6328.0,9083.0,8247.0,Illinois
13,IN,Midwest,1553.0,1998.0,1795.0,1771.0,3617.0,10116.0,Indiana
14,KS,Midwest,760.0,1181.0,954.0,520.0,1259.0,4359.0,Kansas
15,KY,South,1044.0,866.0,1055.0,579.0,1898.0,1196.0,Kentucky
16,LA,South,798.0,561.0,1252.0,806.0,11625.0,32190.0,Louisiana
17,MA,Northeast,820.0,875.0,827.0,691.0,2363.0,816.0,Massachusetts
18,MD,South,1988.0,4405.0,3636.0,3529.0,15836.0,35691.0,Maryland
19,ME,Northeast,132.0,579.0,677.0,613.0,186.0,6.0,Maine
20,MI,Midwest,2975.0,5204.0,5177.0,4886.0,6819.0,18782.0,Michigan
21,MN,Midwest,2517.0,3460.0,2253.0,11311.0,26480.0,51164.0,Minnesota
22,MO,Midwest,2756.0,4026.0,2941.0,1677.0,4097.0,14136.0,Missouri
23,MS,South,393.0,320.0,434.0,452.0,913.0,2808.0,Mississippi
24,MT,West,59.0,127.0,105.0,153.0,2193.0,13327.0,Montana
25,NC,South,4276.0,7387.0,3952.0,2545.0,22683.0,50519.0,North Carolina
26,ND,Midwest,3.0,,15.0,12.0,365.0,1863.0,North Dakota
27,NE,Midwest,367.0,293.0,223.0,388.0,800.0,1249.0,Nebraska
28,NH,Northeast,250.0,1139.0,985.0,994.0,420.0,78.0,New Hampshire
29,NJ,Northeast,3961.0,4252.0,3882.0,3682.0,11123.0,26002.0,New Jersey
30,NM,Southwest,151.0,274.0,211.0,228.0,505.0,1001.0,New Mexico
31,NV,West,1239.0,1068.0,310.0,268.0,458.0,2854.0,Nevada
32,NY,Northeast,6823.0,7717.0,6505.0,6752.0,24048.0,56204.0,New York
33,OH,Midwest,3801.0,4675.0,4981.0,977.0,6682.0,3293.0,Ohio
34,OK,Southwest,519.0,840.0,469.0,149.0,3481.0,3348.0,Oklahoma
35,OR,West,921.0,1397.0,15358.0,34819.0,28488.0,45358.0,Oregon
36,PA,Northeast,3404.0,3780.0,2087.0,1647.0,24107.0,64950.0,Pennsylvania
37,RI,Northeast,635.0,785.0,772.0,758.0,649.0,852.0,Rhode Island
38,SC,South,998.0,1797.0,1558.0,1200.0,16850.0,66813.0,South Carolina
39,SD,Midwest,6.0,11.0,9.0,26.0,127.0,22.0,South Dakota
40,TN,South,1618.0,2535.0,2137.0,1629.0,10639.0,34055.0,Tennessee
41,TX,Southwest,9288.0,12833.0,10085.0,6653.0,26573.0,83605.0,Texas
42,UT,West,941.0,1756.0,4093.0,15435.0,9285.0,17683.0,Utah
43,VA,South,2611.0,4488.0,5330.0,4181.0,24985.0,71940.0,Virginia
44,VT,Northeast,17.0,83.0,57.0,123.0,69.0,16.0,Vermont
45,WA,West,2861.0,4762.0,4484.0,4293.0,5279.0,10875.0,Washington
46,WI,Midwest,1489.0,2293.0,1535.0,1421.0,971.0,187.0,Wisconsin
47,WV,South,398.0,604.0,533.0,419.0,902.0,4776.0,West Virginia
48,WY,West,69.0,88.0,77.0,79.0,10.0,667.0,Wyoming
